ip,port,anonymityLevel,asn,country,isp,latency,org,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"209.140.194.152","3128","transparent","AS394289","US","Hope College","64","Hope College","https","39","N/A","2022-02-21T11:00:57.115Z","100","5699","5711"
"64.227.62.123","80","elite","AS14061","US","DigitalOcean, LLC","2","DigitalOcean, LLC","http","35","N/A","2022-02-21T11:00:57.275Z","100","5707","5708"
"68.183.129.76","3129","transparent","N/A","US","N/A","72","N/A","https","N/A","N/A","2022-02-21T11:00:54.105Z","100","5676","5678"
"147.135.255.62","8122","elite","AS16276","FR","OVH SAS","140","OVH","http","61","284","2022-02-21T11:00:54.827Z","100","164","164"
"188.166.206.183","8118","elite","N/A","SG","N/A","172","N/A","http","N/A","N/A","2022-02-21T11:00:53.571Z","100","5680","5685"
"167.172.203.244","8118","elite","AS14061","US","DigitalOcean, LLC","2","DigitalOcean, LLC","http","38","N/A","2022-02-21T11:00:53.731Z","100","5682","5682"
"62.109.31.192","20000","elite","AS29182","RU","Cjsc the First","177","TheFirst","socks4","35","1","2022-02-21T11:00:52.425Z","100","164","164"
"167.99.163.146","3128","transparent","N/A","US","N/A","2","N/A","http","N/A","N/A","2022-02-21T11:00:52.584Z","100","5697","5697"
"143.110.151.242","3128","elite","N/A","US","N/A","3","N/A","https","N/A","N/A","2022-02-21T11:00:52.740Z","100","5687","5688"
"128.199.4.92","3129","transparent","N/A","SG","N/A","3","N/A","https","N/A","N/A","2022-02-21T11:00:52.900Z","100","5682","5683"
"75.111.123.167","1888","elite","AS19108","US","Suddenlink Communications","N/A","Suddenlink Communications","socks5","37","1","2022-02-21T11:00:50.096Z","10","554","5697"
"177.75.96.74","3128","transparent","AS265889","BR","Optinet TelecomunicaÔÔes Ltda","205","Optinet Telecomunicações Ltda","https","35","N/A","2022-02-21T11:00:45.935Z","100","5694","5703"
"188.132.241.165","56109","elite","AS42910","TR","Sadecehosting","N/A","Equinix Turkey Internet Hizmetleri Anonim Sirketi","socks4","38","1","2022-02-21T11:00:43.217Z","80","3925","4912"
"142.93.16.163","3128","transparent","N/A","US","N/A","3","N/A","http","N/A","N/A","2022-02-21T11:00:43.377Z","100","5647","5647"
"195.29.77.19","8080","transparent","N/A","HR","N/A","179","N/A","https","N/A","757","2022-02-21T11:00:39.052Z","100","5639","5642"
"38.91.106.204","63843","elite","N/A","US","N/A","68","N/A","socks4","N/A","1","2022-02-21T11:00:37.779Z","100","5519","5525"
"173.244.200.154","32900","elite","AS32780","US","Hosting Services, Inc.","77","Hosting Services, Inc.","socks5","69","1","2022-02-21T11:00:35.551Z","100","132","132"
"50.233.228.147","8080","anonymous","N/A","US","N/A","28","N/A","http","N/A","N/A","2022-02-21T11:00:33.322Z","100","5674","5675"
"67.213.212.13","47727","elite","N/A","US","N/A","74","N/A","socks5","N/A","1","2022-02-21T11:00:31.122Z","100","5530","5536"
"137.74.196.132","3128","transparent","N/A","FR","N/A","149","N/A","https","N/A","N/A","2022-02-21T11:00:28.161Z","100","5701","5702"
"138.68.42.77","3128","transparent","N/A","US","N/A","2","N/A","https","N/A","N/A","2022-02-21T11:00:28.317Z","100","5689","5689"
"66.170.183.90","9090","elite","AS22113","CA","Belair Technologies","86","Belair Technologies","http","35","N/A","2022-02-21T11:00:28.720Z","99","5645","5684"
"143.198.237.236","9050","elite","AS14061","US","DigitalOcean, LLC","3","DigitalOcean, LLC","socks5","35","1","2022-02-21T11:00:28.877Z","61","3406","5556"
"173.244.200.156","22108","elite","AS32780","US","Hosting Services, Inc.","73","Hosting Services, Inc.","socks4","51","1","2022-02-21T11:00:25.708Z","100","56","56"
"191.243.217.1","53281","elite","N/A","BR","N/A","142","N/A","http","N/A","N/A","2022-02-21T11:00:23.474Z","100","5673","5678"
"165.22.59.84","8080","transparent","N/A","SG","N/A","168","N/A","http","N/A","343","2022-02-21T11:00:21.048Z","100","5708","5710"
"191.243.218.249","53281","elite","N/A","BR","N/A","142","N/A","https","N/A","N/A","2022-02-21T11:00:18.385Z","100","5654","5660"
"178.128.178.169","3128","transparent","N/A","US","N/A","2","N/A","https","N/A","N/A","2022-02-21T11:00:15.286Z","100","5714","5714"
"142.93.24.89","3128","transparent","N/A","US","N/A","2","N/A","https","N/A","N/A","2022-02-21T11:00:15.126Z","100","5698","5698"
"157.230.255.230","8118","elite","N/A","SG","N/A","169","N/A","http","N/A","N/A","2022-02-21T11:00:15.951Z","100","5691","5697"
"136.243.174.243","1080","elite","N/A","DE","N/A","166","N/A","socks4","N/A","1","2022-02-21T11:00:14.208Z","100","5679","5683"
"142.93.31.20","3128","transparent","N/A","US","N/A","2","N/A","https","N/A","N/A","2022-02-21T11:00:14.360Z","100","5703","5703"
"5.188.182.54","3128","elite","N/A","RU","N/A","150","N/A","https","N/A","N/A","2022-02-21T11:00:14.954Z","100","5698","5703"
"88.250.55.132","8080","elite","AS47331","TR","TurkTelecom","204","Turk Telekomunikasyon A.S","socks4","35","2","2022-02-21T11:00:13.720Z","100","5687","5708"
"188.132.241.162","56109","elite","N/A","TR","N/A","N/A","N/A","socks5","N/A","1","2022-02-21T11:00:13.156Z","80","3951","4937"
"147.135.255.62","8139","elite","AS16276","FR","OVH SAS","142","OVH","https","61","296","2021-06-29T13:02:00.860Z","100","38","38"
"173.244.200.154","44302","elite","AS32780","US","Hosting Services, Inc.","76","Hosting Services, Inc.","socks4","69","163","2021-06-29T13:01:16.017Z","100","43","43"
"62.109.31.192","20000","elite","AS29182","RU","Cjsc the First","175","TheFirst","socks5","35","363","2021-06-29T13:00:40.548Z","100","38","38"
"173.244.200.156","64631","elite","AS32780","US","Hosting Services, Inc.","76","Hosting Services, Inc.","socks4","51","157","2021-06-29T13:00:18.742Z","100","29","29"
"147.135.255.62","8129","elite","AS16276","FR","OVH SAS","142","OVH","https","68","382","2021-06-29T13:00:12.551Z","100","43","43"